Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-12,141.9775884321145,144.0456989015598,141.18023593318597,144.01248168945312,853900,0.0,0.0
2015-02-13,143.61384830098012,143.7882608875013,141.16366956498808,141.87796020507812,586800,0.0,0.0
2015-02-17,141.48755597931466,143.03241615571383,141.18023656688038,141.8114776611328,637300,0.0,0.0
2015-02-18,141.81976693785083,143.9958553530651,140.6818905792826,143.8546600341797,881700,0.0,0.0
2015-02-19,143.85471046592008,143.85471046592008,140.1752917305312,140.3912353515625,1113800,0.0,0.0
2015-02-20,140.20013909639755,142.1104515487007,139.6436590325218,142.0273895263672,867700,0.0,0.0
2015-02-23,142.60882207852157,144.0706329345703,142.0855717593573,144.0706329345703,791300,0.0,0.0
2015-02-24,143.39785478372656,143.4560007464663,139.59385667993897,140.28321838378906,1102300,0.0,0.0
2015-02-25,140.20844775353868,141.84467082813168,139.436024133023,139.51907348632812,695500,0.0,0.0
2015-02-26,139.55235523893603,139.67693565194398,137.83306949848256,138.0656280517578,772800,0.0,0.0
2015-02-27,138.38123304802562,139.818115234375,137.60049541863106,139.818115234375,1067800,0.0,0.0
2015-03-02,139.88456337885873,142.35135668434245,139.84303235440322,140.9144744873047,671300,0.0,0.0
2015-03-03,140.0755583723489,140.77324647019952,138.95429701322487,140.21676635742188,471200,0.0,0.0
2015-03-04,139.99254472210987,140.80649959147203,139.08722666624348,139.65200805664062,988800,0.0,0.0
2015-03-05,140.12540387357774,142.30149218685335,140.00081082852455,141.13868713378906,696400,0.0,0.0
2015-03-06,139.41941501207563,139.41941501207563,136.08052163679474,136.74497985839844,1311600,0.0,0.0
2015-03-09,137.58389548751703,138.6138067006864,137.48423115748116,138.2649688720703,988900,0.0,0.0
2015-03-10,138.24829823301647,139.66026392484451,138.1320190036538,138.5722198486328,864900,0.0,0.0
2015-03-11,138.3978175783113,139.9925097018773,138.27322453325192,138.94598388671875,814500,0.0,0.0
