,Position,Games,P/G,Total Points
Marquise Goodwin,WR,9.0,4.233333333333333,38.1
Malcolm Brown,,14.0,4.221428571428572,59.1
Isaiah McKenzie,WR,15.0,4.2200000000000015,63.3
Kyle Juszczyk,FB,12.0,4.216666666666667,50.6
Jakeem Grant,,10.0,4.19,41.90000000000001
Kelvin Harmon,,16.0,4.15625,66.5
Jakobi Meyers,WR,15.0,4.126666666666667,61.9
Josh Hill,,16.0,4.1,65.6
Rhett Ellison,TE,10.0,4.07,40.7
Scott Miller,,10.0,4.0600000000000005,40.6
DaeSean Hamilton,RB,16.0,3.98125,63.7
Chester Rogers,WR,12.0,3.975,47.7
C.J. Uzomah,,16.0,3.95,63.2
Kalif Raymond,,8.0,3.9375,31.5
Vyncint Smith,,13.0,3.9,50.7
Ty Johnson,,16.0,3.8875,62.2
Josh Reynolds,,16.0,3.86875,61.9
Jordan Wilkins,,14.0,3.8571428571428568,54.0
Qadree Ollison,,8.0,3.8375,30.7
Seth Roberts,TE,16.0,3.75625,60.1
Jaron Brown,,14.0,3.571428571428572,50.0
Jarius Wright,WR,16.0,3.5562500000000004,56.90000000000001
Jeremy Sprinkle,,16.0,3.50625,56.1
Ben Watson,,10.0,3.43,34.3
C.J. Prosise,,9.0,3.4222222222222225,30.8
Brandon Bolden,,15.0,3.393333333333333,50.90000000000001
Tavon Austin,,14.0,3.3857142857142857,47.4
Zay Jones,,15.0,3.26,48.90000000000001
Ryquell Armstead,,16.0,3.2,51.2
Demetrius Harris,WR,15.0,3.1933333333333334,47.9
Charles Clay,,15.0,3.18,47.7
Miles Boykin,WR,16.0,3.175,50.8
Mike Boone,,16.0,3.125,50.0
Justice Hill,,16.0,3.09375,49.5
Dante Pettis,,11.0,3.0818181818181816,33.9
Keelan Doss,FB,8.0,3.0375,24.3
Malik Turner,WR,15.0,3.033333333333333,45.5
Damion Ratley,WR,13.0,2.9230769230769234,38.0
Matt LaCosse,RB,11.0,2.9181818181818184,32.1
Jake Kumerow,WR,14.0,2.8500000000000005,39.90000000000001
Trey Burton,,8.0,2.8,22.4
Dontrell Hilliard,,14.0,2.7214285714285715,38.1
Anthony Firkser,,15.0,2.693333333333334,40.40000000000001
Justin Watson,WR,16.0,2.68125,42.9
Darwin Thompson,,12.0,2.6750000000000003,32.1
Javon Wims,,16.0,2.6625,42.6
Ameer Abdullah,,16.0,2.58125,41.3
Maxx Williams,,16.0,2.575,41.2
Laquon Treadwell,,13.0,2.56923076923077,33.40000000000001
Bilal Powell,,13.0,2.553846153846154,33.2
Nick O'Leary,WR,12.0,2.4916666666666667,29.9
C.J. Ham,FB,16.0,2.475,39.6
Logan Thomas,WR,16.0,2.45625,39.3
Justin Hardy,,16.0,2.40625,38.5
Robert Tonyan,,11.0,2.363636363636364,26.0
Andy Isabella,,15.0,2.3600000000000003,35.40000000000001
Brandon Zylstra,,8.0,2.325,18.6
Trevor Davis,,14.0,2.3142857142857145,32.40000000000001
Marcedes Lewis,RB,16.0,2.2875,36.6
Ross Dwelley,,16.0,2.25625,36.1
Jeff Heuerman,WR,14.0,2.242857142857143,31.4
Christian Blake,,9.0,2.2333333333333334,20.1
Ian Thomas,RB,16.0,2.225,35.6
Hale Hentges,,11.0,2.209090909090909,24.3
Byron Pringle,WR,16.0,2.1875,35.0
Seth Devalve,RB,12.0,2.1666666666666665,26.0
Nick Vannett,,16.0,2.1,33.6
JJ Arcega-Whiteside,,16.0,2.0562500000000004,32.90000000000001
Olamide Zaccheaus,WR,10.0,2.05,20.5
Adam Shaheen,WR,8.0,2.05,16.4
Derek Carrier,,16.0,2.03125,32.5
Ty Montgomery,,16.0,2.01875,32.3
Luke Willson,RB,8.0,1.9875,15.9
Jesse James,WR,16.0,1.8875,30.200000000000006
