,Position,Games,Rushing Yards,Rushing TD,Receptions,Receiving Yards,Receiving TD,P/G,Total Points
Dwayne Washington,,16.0,6.0,0.0,1.0,0.6000000000000001,0.0,0.475,7.6
Dennis Kelly,WR,15,0,0,1,0.1,6,0.47333333333333333,7.1
Darius Jennings,,8.0,0.0,0.0,2.0,1.7000000000000002,0.0,0.4625,3.7
Jason Sanders,WR,16,0,0,1,0.1,6,0.44375,7.1
Vita Vea,,16.0,0.0,0.0,1.0,0.1,6.0,0.44375,7.1
Christian Wilkins,WR,16,0,0,1,0.1,6,0.44375,7.1
Dion Dawkins,RB,16,0,0,1,0.1,6,0.44375,7.1
Andre Roberts,,13.0,0.7000000000000001,0.0,3.0,2.0,0.0,0.43846153846153846,5.7
Stanley Morgan Jr.,LG,11,0,0,3,1.8,0,0.43636363636363634,4.8
Trevon Wesco,,16.0,0.2,0.0,2.0,4.7,0.0,0.43125,6.9
Elijhaa Penny,,16.0,3.9000000000000004,0.0,2.0,0.9,0.0,0.42500000000000004,6.800000000000001
Tyler Ervin,,10.0,1.0,0.0,2.0,1.1,0.0,0.41,4.1
Anthony Levine,,16.0,6.2,0.0,0.0,0.0,0.0,0.3875,6.2
Johnny Holton,,16.0,0.9,0.0,3.0,2.1,0.0,0.375,6.0
Chris Moore,,14.0,0.0,0.0,3.0,2.1,0.0,0.36428571428571427,5.1
Cody Core,WR,16,0,0,3,2.8000000000000003,0,0.36250000000000004,5.800000000000001
T.J. Logan,,12.0,1.0,0.0,2.0,1.3,0.0,0.35833333333333334,4.3
Anthony Sherman,,16.0,0.9,0.0,2.0,2.2,0.0,0.31875,5.1
Fred Brown,,13.0,0.0,0.0,2.0,2.1,0.0,0.3153846153846154,4.1
Ashton Dulin,WR,13,0,0,2,1.7000000000000002,0,0.2846153846153846,3.7
Antony Auclair,RB,8,0,0,1,1.1,0,0.2625,2.1
Nick Scott,,16.0,0.6000000000000001,0.0,1.0,2.3000000000000003,0.0,0.24375000000000002,3.9000000000000004
Levine Toilolo,WR,13,0,0,2,1.0,0,0.23076923076923078,3.0
Mike Thomas,WR,16,0,0,2,1.4000000000000001,0,0.21250000000000002,3.4000000000000004
Keith Smith,FB,16,0.8,0,1,1.3,0,0.19375,3.1
Krishawn Hogan,,8.0,0.0,0.0,1.0,0.4,0.0,0.175,1.4
Ben Koyack,TE,11,0,0,1,0.9,0,0.17272727272727273,1.9
De'Anthony Thomas,,14.0,0.5,0.0,1.0,0.6000000000000001,0.0,0.15,2.1
Chris Manhertz,WR,15,0,0,1,1.1,0,0.14,2.1
Eric Tomlinson,WR,8,0,0,1,0.1,0,0.1375,1.1
Kevin Byard,RB,16,0,0,1,1.1,0,0.13125,2.1
Jamal Agnew,,13.0,0.9,0.0,1.0,-0.2,0.0,0.13076923076923078,1.7
Darrell Daniels,WR,11,0,0,1,0.4,0,0.12727272727272726,1.4
Senorise Perry,,11.0,0.30000000000000004,0.0,1.0,0.1,0.0,0.12727272727272726,1.4
Cody Davis,,16.0,0.0,0.0,1.0,0.7000000000000001,0.0,0.10625000000000001,1.7000000000000002
Ryan Nall,,8.0,0.8,0.0,0.0,0.0,0.0,0.1,0.8
Dalton Schultz,WR,16,0,0,1,0.6000000000000001,0,0.1,1.6
Jordan Scarlett,,9.0,0.9,0.0,0.0,0.0,0.0,0.1,0.9
Tyrod Taylor,,8.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.08750000000000001,0.7000000000000001
De'Lance Turner,,8.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.07500000000000001,0.6000000000000001
Michael Deiter,WR,16,0,0,1,0.0,0,0.0625,1.0
Buddy Howell,,16.0,1.0,0.0,0.0,0.0,0.0,0.0625,1.0
Kaleb McGary,,16.0,0.0,0.0,1.0,-0.30000000000000004,0.0,0.04375,0.7
Garrett Bradbury,TE,16,0,0,1,-0.4,0,0.0375,0.6
Wyatt Teller,,15.0,0.0,0.0,1.0,-0.5,0.0,0.03333333333333333,0.5
Colin Jones,,16.0,0.5,0.0,0.0,0.0,0.0,0.03125,0.5
Erik Harris,FS,16,0.4,0,0,0,0,0.025,0.4
Matt Haack,,16.0,0.2,0.0,0.0,0.0,0.0,0.0125,0.2
Brett Kern,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quenton Nelson,LG,16,0.0,0,0,0,0,0.0,0.0
Bryan Anger,,14.0,-0.5,0.0,0.0,0.0,0.0,-0.03571428571428571,-0.5
Jordan Berry,,16.0,-0.8,0.0,0.0,0.0,0.0,-0.05,-0.8
