Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
KEYS,"Keysight Technologies Inc Comm",123.21,0.56999999999999,+0.46%,124.75,122.69,878994,12/04/20
KHC,"Kraft Heinz Company",34.12,0.67,+2.00%,34.15,33.64,6146800,12/04/20
KIM,"Kimco Realty Corp",15.61,0.42,+2.76%,15.7,15.28,4386080,12/04/20
KLAC,"K L A-Tencor Corp",263.7,6.31,+2.45%,264.17,258.08,748900,12/04/20
KMB,"Kimberly-Clark Corp",137.4,-0.41999999999999,-0.30%,138.06,136.08,2131004,12/04/20
KMI,"Kinder Morgan",14.93,0.44,+3.04%,15.1,14.67,17456087,12/04/20
KMX,"Carmax Inc",96.5,0.23,+0.24%,97.08,95.65,1007366,12/04/20
KO,"Coca-Cola Company",53.85,1.07,+2.03%,53.87,52.76,18122399,12/04/20
KR,"Kroger Company",30.58,-0.3,-0.97%,30.91,30.43,18170139,12/04/20
KSU,"Kansas City Southern",194.2,5.1,+2.70%,194.23,189.1,786664,12/04/20
L,"Loews Corp",43.35,0.73,+1.71%,43.61,42.67,1025407,12/04/20
LB,"L Brands Inc",38.25,-0.1,-0.26%,38.45,36.51,3918330,12/04/20
LDOS,"Leidos Holdings Inc",104.81,1.92,+1.87%,104.88,102.78,389140,12/04/20
LEG,"Leggett & Platt Inc",44.64,0.37,+0.84%,45.17,44.16,590334,12/04/20
LEN,"Lennar Corp",73.88,-1.54,-2.04%,75.21,73.33,2818600,12/04/20
LH,"Laboratory Corp of America Holdings",198.85,2.21,+1.12%,199.26,195.91,1078796,12/04/20
LHX,"L3Harris Technologies Inc",195.04,2.34,+1.21%,197.24,193.46,1150858,12/04/20
LIN,"Linde Plc",250.62,4.42,+1.80%,250.62,244.77,3030913,12/04/20
LKQ,"LKQ Corp",37.09,0.91,+2.52%,37.1,36.12,1640200,12/04/20
LLY,"Eli Lilly and Company",148.45,4.34,+3.01%,148.72,144,3058757,12/04/20
LMT,"Lockheed Martin Corp",366.61,4.58,+1.27%,367.73,362.11,1222573,12/04/20
LNC,"Lincoln National Corp",54.73,2.52,+4.83%,54.79,53.04,1713067,12/04/20
LNT,"Alliant Energy Corp",52.88,-0.48,-0.90%,53.77,52.66,1270000,12/04/20
LOW,"Lowe's Companies",150,-1.97,-1.30%,152.4,149.83,4709070,12/04/20
LRCX,"Lam Research Corp",499.98,15.91,+3.29%,501.6,486.16,1755100,12/04/20
LUMN,Centurylink,10.56,0.050000000000001,+0.48%,10.65,10.5,8411115,12/04/20
LUV,"Southwest Airlines Company",47.59,-0.23,-0.48%,48.79,47.07,7615787,12/04/20
LVS,"Las Vegas Sands",60.11,1.45,+2.47%,60.12,58.85,4913462,12/04/20
LW,"Lamb Weston Holdings Inc",76.38,0.72,+0.95%,76.39,75.03,1332753,12/04/20
LYB,"Lyondellbasell Industries NV",89.26,3.63,+4.24%,89.58,86.24,1903410,12/04/20
LYV,"Live Nation Entertainment",70,0.78,+1.13%,70.22,69.51,2250433,12/04/20
MA,"Mastercard Inc",344.35,9.21,+2.75%,344.35,335.8,4323636,12/04/20
MAA,"Mid-America Apartment Communities",125.13,1.48,+1.20%,125.42,123.57,610314,12/04/20
