Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
135,Steven Sims\SimsSt00,WAS,22,,16,2,56,34,310,4,18,138,4.1,172,5.1,6.8,1,34.0,4,7.1,1,92.1
136,Damiere Byrd\ByrdDa00,ARI,26,,11,3,46,32,359,1,16,209,6.5,150,4.7,10.0,3,10.7,1,2.2,1,90.8
137,T.J. Hockenson\HockTJ00,DET,22,te,12,7,59,32,367,2,19,167,5.2,200,6.3,7.5,4,8.0,2,3.4,0,84.5
138,Allen Hurns\HurnAl01,MIA,28,WR,14,7,47,32,416,2,18,300,9.4,116,3.6,10.4,1,32.0,2,4.3,1,101.0
139,Demarcus Robinson\RobiDe01,KAN,25,wr,16,10,55,32,449,4,19,338,10.6,111,3.5,13.2,4,8.0,1,1.8,2,93.7
140,Preston Williams\WillPr01,MIA,22,WR,8,7,60,32,428,3,24,344,10.8,84,2.6,13.6,2,16.0,4,6.7,2,79.0
141,Nick Boyle\BoylNi00,BAL,26,TE,16,15,43,31,321,2,13,161,5.2,160,5.2,6.1,0,,2,4.7,1,99.1
142,Eric Ebron\EbroEr00,IND,26,,11,2,52,31,375,3,20,220,7.1,155,5.0,9.5,0,,5,9.6,3,77.0
143,Todd Gurley\GurlTo01,LAR,25,RB,15,15,49,31,207,2,8,11,0.4,196,6.3,0.6,1,31.0,7,14.3,0,86.0
144,Blake Jarwin\JarwBl00,DAL,25,te,16,7,41,31,365,3,17,208,6.7,157,5.1,8.0,1,31.0,1,2.4,0,126.6
145,Olabisi Johnson\JohnOl00,MIN,22,,16,6,45,31,294,3,17,226,7.3,68,2.2,9.6,0,,0,0.0,0,108.9
146,Ronald Jones II\JoneRo01,TAM,22,RB,16,9,40,31,309,0,12,19,0.6,290,9.4,0.9,5,6.2,1,2.5,1,88.4
147,Kaden Smith\SmitKa00,NYG,22,te,9,6,42,31,268,3,12,177,5.7,91,2.9,5.7,1,31.0,1,2.4,0,114.0
148,Willie Snead\SneaWi00,BAL,27,WR,16,11,46,31,339,5,20,213,6.9,126,4.1,8.9,1,31.0,1,2.2,3,98.0
149,Giovani Bernard\BernGi00,CIN,28,,16,2,43,30,234,0,7,32,1.1,202,6.7,0.6,3,10.0,2,4.7,1,73.2
150,Kendrick Bourne\BourKe00,SFO,24,,16,0,44,30,358,5,23,236,7.9,122,4.1,8.3,2,15.0,3,6.8,1,121.2
151,Ted Ginn Jr.\GinnTe00,NOR,34,WR,16,9,56,30,421,2,20,373,12.4,48,1.6,15.9,0,,7,12.5,1,82.5
152,Kelvin Harmon\HarmKe00,WAS,23,WR,16,8,44,30,365,0,16,271,9.0,94,3.1,11.4,2,15.0,2,4.5,2,74.5
153,Hayden Hurst\HursHa00,BAL,26,,16,4,39,30,349,2,16,201,6.7,148,4.9,8.5,1,30.0,0,0.0,0,120.6
154,Adam Thielen\ThieAd00,MIN,29,WR,10,10,48,30,418,6,18,301,10.0,117,3.9,12.2,2,15.0,1,2.1,0,130.0
155,Damien Williams\WillDa05,KAN,27,rb,11,6,37,30,213,2,10,-17,-0.6,230,7.7,0.9,5,6.0,2,5.4,0,108.7
156,Phillip Dorsett\DorsPh00,NWE,26,,14,4,54,29,397,5,17,318,11.0,79,2.7,13.9,0,,0,0.0,1,100.6
157,Taylor Gabriel\GabrTa00,CHI,28,WR,9,7,48,29,353,4,17,274,9.4,79,2.7,11.6,0,,3,6.3,0,110.9
158,Devin Singletary\SingDe00,BUF,22,RB,12,8,41,29,194,2,5,1,0.0,193,6.7,1.5,3,9.7,4,9.8,0,97.0
159,DaeSean Hamilton\HamiDa01,DEN,24,,16,2,52,28,297,1,19,169,6.0,128,4.6,8.1,2,14.0,4,7.7,0,77.2
160,Dawson Knox\KnoxDa00,BUF,23,TE,15,11,50,28,388,2,15,244,8.7,144,5.1,9.1,3,9.3,10,20.0,0,94.4
161,LeSean McCoy\McCoLe01,KAN,31,RB,13,9,34,28,181,1,6,-55,-2.0,236,8.4,-0.7,1,28.0,1,2.9,0,98.7
162,Paul Richardson\RichPa01,WAS,27,WR,10,6,42,28,245,2,13,195,7.0,50,1.8,9.6,0,,2,4.8,2,78.0
163,John Ross\RossJo00,CIN,25,WR,8,8,56,28,506,3,22,308,11.0,198,7.1,15.6,3,9.3,8,14.3,2,84.4
164,Greg Ward\WardGr02,PHI,24,,7,3,40,28,254,1,18,160,5.7,94,3.4,6.7,1,28.0,0,0.0,0,95.2
165,Jarius Wright\WrigJa02,CAR,30,WR,16,9,58,28,296,0,16,203,7.3,93,3.3,10.5,1,28.0,8,13.8,5,27.7
166,Rex Burkhead\BurkRe00,NWE,29,,13,1,38,27,279,0,10,50,1.9,229,8.5,3.2,3,9.0,2,5.3,0,91.9
167,Josh Gordon\GordJo02,2TM,28,,11,7,47,27,426,1,16,284,10.5,142,5.3,11.0,4,6.8,2,4.3,,94.8
168,Zay Jones\JoneZa00,2TM,24,,15,9,45,27,216,0,10,139,5.1,77,2.9,9.9,0,,1,2.2,,72.1
169,Isaiah McKenzie\McKeIs00,BUF,24,WR,15,8,39,27,254,1,12,48,1.8,206,7.6,4.3,1,27.0,2,5.1,0,95.5
170,C.J. Uzomah\UzomC.00,CIN,26,TE,16,16,40,27,242,2,12,107,4.0,135,5.0,3.9,1,27.0,2,5.0,1,89.8
171,Mecole Hardman*\HardMe00,KAN,21,wr,16,5,41,26,538,6,18,246,9.5,292,11.2,11.0,2,13.0,1,2.4,0,146.6
172,Mark Ingram*\IngrMa01,BAL,30,RB,15,15,29,26,247,5,16,27,1.0,220,8.5,1.5,2,13.0,0,0.0,0,141.7
173,Jakobi Meyers\MeyeJa01,NWE,23,,15,1,41,26,359,0,17,245,9.4,114,4.4,10.3,3,8.7,2,4.9,0,91.4
174,Trey Quinn\QuinTr00,WAS,24,wr,12,6,47,26,198,1,10,137,5.3,61,2.3,6.9,0,,1,2.1,2,55.1
175,Jeremy Sprinkle\SpriJe00,WAS,25,TE,16,13,40,26,241,1,13,150,5.8,91,3.5,6.5,0,,4,10.0,2,68.9
176,Marquez Valdes-Scantling\ValdMa00,GNB,25,WR,16,10,56,26,452,2,14,301,11.6,151,5.8,16.9,0,,3,5.4,1,78.9
177,Pharoh Cooper\CoopPh00,2TM,24,,13,1,33,25,243,1,10,173,6.9,70,2.8,10.2,0,,1,3.0,,106.0
178,Josh Hill\HillJo02,NOR,29,TE,16,11,35,25,226,3,13,67,2.7,159,6.4,4.9,0,,1,2.9,0,117.1
179,Dion Lewis\LewiDi00,TEN,29,,16,1,32,25,164,1,7,-29,-1.2,193,7.7,-0.7,2,12.5,2,6.3,0,98.4
180,David Montgomery\MontDa01,CHI,22,rb,16,8,35,25,185,1,7,29,1.2,156,6.2,2.7,6,4.2,2,5.7,0,93.2
181,Tajae Sharpe\SharTa00,TEN,25,WR,15,6,35,25,329,4,20,271,10.8,58,2.3,14.2,0,,0,0.0,1,127.0
182,Keelan Cole\ColeKe00,JAX,26,,16,1,35,24,361,3,19,262,10.9,99,4.1,10.7,0,,1,2.9,1,118.9
183,Ty Johnson\JohnTy02,DET,22,,16,1,31,24,109,0,4,22,0.9,87,3.6,2.2,1,24.0,2,6.5,0,81.2
184,Cody Latimer\LatiCo00,NYG,27,wr,15,10,42,24,300,2,19,231,9.6,69,2.9,11.8,0,,1,2.4,1,85.4
