Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
402,Malcolm Brown\BrowMa03,LAR,26,,14,1,6,2,16,0,0,9,4.5,7,3.5,0.0,0,,1,16.7,2,2.8
403,Pharaoh Brown\BrowPh01,CLE,25,TE,9,6,3,2,27,0,1,13,6.5,14,7.0,9.0,1,2.0,0,0.0,0,95.1
404,Deontay Burnett\BurnDe00,PHI,22,,1,1,4,2,48,0,1,42,21.0,6,3.0,22.0,0,,0,0.0,0,93.7
405,Cethan Carter\CartCe00,CIN,24,,15,0,3,2,13,1,2,8,4.0,5,2.5,2.7,0,,0,0.0,0,115.3
406,Robert Davis\DaviRo00,2TM,24,,6,3,5,2,17,0,2,15,7.5,2,1.0,7.2,0,,0,0.0,,49.6
407,Ashton Dulin\DuliAs00,IND,22,,13,0,2,2,17,0,,-6,-3.0,23,11.5,-3.0,0,,0,0.0,0,102.1
408,Tyler Ervin\ErviTy00,2TM,26,,10,0,4,2,11,0,1,-1,-0.5,12,6.0,14.8,0,,0,0.0,,56.2
409,Rico Gafford\GaffRi00,OAK,23,,4,1,2,2,66,1,2,49,24.5,17,8.5,24.5,0,,0,0.0,0,158.3
410,Wes Hills\HillWe00,DET,24,,1,1,2,2,1,0,0,-2,-1.0,3,1.5,-1.0,0,,0,0.0,0,79.2
411,Alexander Hollins\HollAl00,MIN,23,,4,1,4,2,46,0,2,40,20.0,6,3.0,18.8,0,,1,25.0,0,91.7
412,Cody Hollister\HollCo00,TEN,26,,5,0,2,2,13,0,,10,5.0,3,1.5,5.0,0,,0,0.0,0,93.7
413,Tanner Hudson\HudsTa00,TAM,25,,9,1,5,2,26,0,1,24,12.0,2,1.0,11.0,0,,1,20.0,0,57.1
414,Ishmael Hyman\HymaIs00,TAM,24,,2,1,4,2,34,0,2,33,16.5,1,0.5,14.5,0,,1,25.0,1,39.6
415,Darius Jennings\JennDa00,TEN,27,,8,0,5,2,17,0,2,3,1.5,14,7.0,15.4,0,,0,0.0,1,10.0
416,T.J. Logan\LogaT.00,TAM,25,,12,0,3,2,13,0,1,4,2.0,9,4.5,10.0,0,,0,0.0,0,75.7
417,Steven Mitchell\MitcSt02,HOU,25,,3,1,6,2,37,0,2,23,11.5,14,7.0,16.8,0,,0,0.0,0,55.6
418,Jason Moore\MoorJa02,LAC,24,,10,0,5,2,43,0,2,37,18.5,6,3.0,23.8,0,,0,0.0,0,71.2
419,Isaac Nauta\NautIs00,DET,22,,6,0,3,2,13,0,1,5,2.5,8,4.0,1.3,0,,1,33.3,0,75.7
420,Roosevelt Nix\NixxRo01,PIT,27,,3,0,3,2,4,0,,-5,-2.5,9,4.5,0.7,0,,0,0.0,0,70.1
421,Gunner Olszewski\OlszGu00,NWE,23,,8,0,4,2,34,0,1,18,9.0,16,8.0,6.0,0,,0,0.0,0,79.2
422,Elijhaa Penny\PennEl00,NYG,26,,16,1,4,2,9,0,0,-13,-6.5,22,11.0,-2.5,0,,0,0.0,0,56.2
423,Troymaine Pope\PopeTr00,LAC,26,,14,0,3,2,14,1,1,3,1.5,11,5.5,0.0,0,,1,33.3,0,116.7
424,Eric Saubert\SaubEr00,CHI,25,,2,0,3,2,21,0,1,3,1.5,18,9.0,3.0,0,,1,33.3,0,86.8
425,Da'Mari Scott\ScotDa02,NYG,24,,5,2,3,2,22,0,2,8,4.0,14,7.0,6.3,0,,1,33.3,0,88.2
426,Anthony Sherman\SherAn00,KAN,31,,16,0,3,2,22,0,2,-1,-0.5,23,11.5,3.3,0,,1,33.3,0,88.2
427,Scott Simonson\SimoSc00,NYG,27,,5,1,2,2,11,0,1,8,4.0,3,1.5,4.0,0,,0,0.0,0,89.6
428,Cam Sims\SimsCa00,WAS,23,,7,1,3,2,27,0,1,19,9.5,8,4.0,11.7,0,,0,0.0,0,95.1
429,Mike Thomas\ThomMi04,LAR,25,,16,0,5,2,14,0,1,4,2.0,10,5.0,10.4,0,,1,20.0,0,47.9
430,Levine Toilolo\ToilLe00,SFO,28,,13,0,2,2,10,0,,-3,-1.5,13,6.5,-1.5,1,2.0,0,0.0,0,87.5
431,Michael Walker\WalkMi00,JAX,23,,7,0,3,2,15,0,1,8,4.0,7,3.5,4.0,0,,0,0.0,0,78.5
432,Trevon Wesco\WescTr00,NYJ,24,,16,1,3,2,47,0,2,7,3.5,40,20.0,2.7,0,,0,0.0,0,109.7
433,Zach Zenner\ZennZa00,3TM,28,,5,0,3,2,19,0,2,0,0.0,19,9.5,1.7,0,,1,33.3,,84.0
434,Jamal Agnew\AgneJa00,DET,24,,13,0,2,1,-2,0,0,-3,-3.0,1,1.0,14.5,0,,0,0.0,0,56.2
435,Javorius Allen\AlleJa01,NYG,28,,10,0,2,1,9,0,0,5,5.0,4,4.0,5.5,0,,0,0.0,0,62.5
436,Antony Auclair\AuclAn00,TAM,26,te,8,5,3,1,11,0,1,3,3.0,8,8.0,0.7,0,,0,0.0,0,45.1
437,David Blough\BlouDa00,DET,24,qb,5,5,1,1,19,1,1,14,14.0,5,5.0,14.0,0,,0,0.0,0,158.3
438,Garrett Bradbury\BradGa00,MIN,24,C,16,16,1,1,-4,0,,0,0.0,-4,-4.0,0.0,0,,0,0.0,0,79.2
439,Jacoby Brissett\BrisJa00,IND,27,QB,15,15,1,1,2,0,0,0,0.0,2,2.0,0.0,0,,0,0.0,0,79.2
440,Ventell Bryant\BryaVe00,DAL,23,,12,0,1,1,15,1,1,15,15.0,0,0.0,15.0,0,,0,0.0,0,158.3
441,Kevin Byard\ByarKe01,TEN,26,FS,16,16,1,1,11,0,1,3,3.0,8,8.0,3.0,0,,0,0.0,0,112.5
442,Austin Carr\CarrAu00,NOR,26,,6,3,4,1,9,0,1,5,5.0,4,4.0,10.3,0,,1,25.0,0,39.6
443,Sean Culkin\CulkSe00,LAC,26,,4,2,2,1,12,0,1,12,12.0,0,0.0,9.5,0,,1,50.0,0,68.7
444,Andy Dalton\DaltAn00,CIN,32,QB,13,13,1,1,-4,0,0,-8,-8.0,4,4.0,-8.0,0,,0,0.0,0,79.2
445,Darrell Daniels\DaniDa02,ARI,25,,11,0,3,1,4,0,1,4,4.0,0,0.0,7.3,0,,0,0.0,0,42.4
446,Cody Davis\DaviCo02,JAX,30,,16,0,1,1,7,0,1,2,2.0,5,5.0,2.0,0,,0,0.0,0,95.8
447,Rashard Davis\DaviRa01,TEN,25,,1,0,1,1,16,0,1,16,16.0,0,0.0,16.0,0,,0,0.0,0,118.7
448,Dion Dawkins\DawkDi00,BUF,25,LT,16,16,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
449,Michael Deiter\DeitMi00,MIA,23,LG,16,15,1,1,0,0,,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2
450,Jeff Driskel\DrisJe00,DET,26,,3,3,1,1,6,0,0,-3,-3.0,9,9.0,-3.0,0,,0,0.0,0,91.7
451,Quincy Enunwa\EnunQu00,NYJ,27,,1,1,3,1,-4,0,,0,0.0,-4,-4.0,11.7,0,,0,0.0,0,42.4
452,Zach Gentry\GentZa00,PIT,23,,4,0,1,1,4,0,1,2,2.0,2,2.0,2.0,1,1.0,0,0.0,0,83.3
453,Cyril Grayson\GrayCy01,TAM,26,,2,0,1,1,3,0,,2,2.0,1,1.0,2.0,0,,0,0.0,0,79.2
454,Xavier Grimble\GrimXa00,PIT,27,,3,1,3,1,3,0,,1,1.0,2,2.0,3.0,0,,1,33.3,0,42.4
455,Dwayne Harris\HarrDw00,OAK,32,,3,0,1,1,7,0,,0,0.0,7,7.0,0.0,0,,0,0.0,0,95.8
456,Chris Herndon\HernCh00,NYJ,23,,1,0,2,1,7,0,,2,2.0,5,5.0,6.0,0,,0,0.0,0,58.3
457,Krishawn Hogan\HogaKr00,NOR,24,,8,0,1,1,4,0,,2,2.0,2,2.0,2.0,0,,0,0.0,0,83.3
458,Jakob Johnson\JohnJa12,NWE,25,FB,4,3,2,1,5,0,,4,4.0,1,1.0,3.5,0,,0,0.0,0,56.2
459,Charles Jones\JoneCh10,JAX,23,,4,0,1,1,5,0,,3,3.0,2,2.0,3.0,0,,0,0.0,0,87.5
460,Taiwan Jones\JoneTa00,HOU,31,,11,0,1,1,9,0,0,-3,-3.0,12,12.0,-3.0,0,,0,0.0,0,104.2
461,Dennis Kelly\KellDe00,TEN,29,,15,4,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
462,Ben Koyack\KoyaBe00,JAX,26,te,11,6,3,1,9,0,,6,6.0,3,3.0,1.7,0,,1,33.3,0,42.4
463,Chris Manhertz\ManhCh00,CAR,27,te,15,6,1,1,11,0,1,2,2.0,9,9.0,2.0,0,,0,0.0,0,112.5
464,Codey McElroy\McElCo00,TAM,27,,1,0,1,1,30,0,1,30,30.0,0,0.0,30.0,0,,0,0.0,0,118.7
465,Kaleb McGary\McGaKa00,ATL,24,RT,16,16,1,1,-3,0,,-3,-3.0,0,0.0,-3.0,0,,0,0.0,0,79.2
466,Qadree Ollison\OlliQa00,ATL,23,,8,0,2,1,7,0,1,4,4.0,3,3.0,1.5,0,,1,50.0,0,58.3
467,Ricky Ortiz\OrtiRi00,NOR,25,,1,0,1,1,8,0,,1,1.0,7,7.0,1.0,1,1.0,0,0.0,0,100.0
468,Paul Perkins\PerkPa00,DET,25,,4,0,1,1,9,0,0,-1,-1.0,10,10.0,-1.0,0,,0,0.0,0,104.2
469,Senorise Perry\PerrSe00,BUF,28,,11,0,1,1,1,0,,-1,-1.0,2,2.0,-1.0,0,,0,0.0,0,79.2
470,David Quessenberry\QuesDa00,TEN,29,,4,0,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
471,Elandon Roberts\RobeEl00,NWE,25,,16,3,1,1,38,1,1,7,7.0,31,31.0,7.0,1,1.0,0,0.0,0,158.3
472,Ty Sambrailo\SambTy00,ATL,27,,13,0,1,1,35,1,1,15,15.0,20,20.0,15.0,0,,0,0.0,0,158.3
473,Jason Sanders\SandJa00,MIA,24,,16,0,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
474,Bo Scarbrough\ScarBo01,DET,23,rb,6,5,4,1,5,0,0,-3,-3.0,8,8.0,-2.0,0,,0,0.0,0,39.6
475,Dalton Schultz\SchuDa00,DAL,23,,16,0,2,1,6,0,,5,5.0,1,1.0,10.0,0,,0,0.0,0,56.2
476,Jaleel Scott\ScotJa02,BAL,24,,3,0,3,1,6,0,,0,0.0,6,6.0,13.0,0,,0,0.0,0,42.4
477,Nick Scott\ScotNi01,LAR,24,,16,0,1,1,23,0,1,3,3.0,20,20.0,3.0,0,,0,0.0,0,118.7
478,Darrius Shepherd\ShepDa00,GNB,24,,6,0,2,1,1,0,,-2,-2.0,3,3.0,4.0,0,,0,0.0,1,16.7
479,Jeff Smith\SmitJe03,NYJ,22,,1,0,2,1,12,0,1,12,12.0,0,0.0,24.0,0,,0,0.0,0,68.7
480,Keith Smith\SmitKe03,ATL,27,fb,16,5,3,1,13,0,1,0,0.0,13,13.0,7.0,0,,0,0.0,0,47.9
481,Tyrone Swoopes\SwooTy00,SEA,25,,5,2,1,1,5,0,,-2,-2.0,7,7.0,-2.0,0,,0,0.0,0,87.5
482,Wyatt Teller\TellWy00,CLE,25,RG,15,9,1,1,-5,0,,-5,-5.0,0,0.0,-5.0,0,,0,0.0,0,79.2
483,De'Anthony Thomas\ThomDe05,2TM,26,,14,0,2,1,6,0,0,3,3.0,3,3.0,-0.5,0,,1,50.0,,56.2
484,Jordan Thomas\ThomJo05,HOU,23,,5,2,3,1,8,0,,5,5.0,3,3.0,2.7,0,,0,0.0,0,42.4
485,Eric Tomlinson\TomlEr01,3TM,27,,8,3,1,1,1,0,,0,0.0,1,1.0,0.0,0,,0,0.0,,79.2
486,John Ursua\UrsuJo00,SEA,25,,3,0,1,1,11,0,1,11,11.0,0,0.0,11.0,0,,0,0.0,0,112.5
487,Vita Vea\VeaxVi00,TAM,24,NT,16,1,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
488,Dwayne Washington\WashDw00,NOR,25,,16,0,1,1,6,0,0,-5,-5.0,11,11.0,-5.0,0,,0,0.0,0,91.7
489,Deshaun Watson *\WatsDe00,HOU,24,QB,15,15,1,1,6,1,1,0,0.0,6,6.0,0.0,0,,0,0.0,0,131.2
490,Kerrith Whyte Jr\WhytKe00,PIT,23,,6,0,1,1,9,0,1,-2,-2.0,11,11.0,-2.0,0,,0,0.0,0,104.2
491,Christian Wilkins\WilkCh00,MIA,24,RDE,16,14,1,1,1,1,1,0,0.0,1,1.0,0.0,0,,0,0.0,0,118.7
