Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Tre'Quan Smith,210,NOR,WR,23,11,6,0,0,0,0,0,0,0,,0,25,18,234,13.0,5,0,0,5,,,53.0,71.4,74.4,62.4,,81,,SmitTr03,4.818181818181818,6.490909090909091
Corey Davis,166,TEN,WR,24,15,11,0,0,0,0,0,0,0,,0,69,43,601,13.98,2,1,0,2,,,72.0,115.1,118.1,93.6,,64,,DaviCo03,4.8,7.673333333333333
Steven Sims,159,WAS,WR,22,16,2,0,1,0,0,0,9,85,9.44,1,56,34,310,9.12,4,1,0,6,,,76.0,109.5,112.5,92.5,,61,,SimsSt00,4.75,6.84375
Anthony Miller,158,CHI,WR,25,16,7,0,0,0,0,0,1,-1,-1.0,0,85,52,656,12.62,2,1,1,2,,,76.0,127.5,131.5,101.5,,63,,MillAn02,4.75,7.96875
Demaryius Thomas,223,NYJ,WR,32,11,10,0,0,0,0,0,0,0,,0,58,36,433,12.03,1,0,0,1,,,49.0,85.3,88.3,67.3,,86,,ThomDe03,4.454545454545454,7.754545454545454
Mohamed Sanu,181,2TM,WR,30,15,12,0,0,0,0,0,3,11,3.67,0,89,59,520,8.81,2,0,0,2,,,65.0,124.1,127.1,94.6,,71,,SanuMo00,4.333333333333333,8.273333333333333
Demarcus Robinson,174,KAN,WR,25,16,10,0,0,0,0,0,0,0,,0,55,32,449,14.03,4,0,0,4,,,69.0,100.9,103.9,84.9,,67,,RobiDe01,4.3125,6.30625
Josh Gordon,226,2TM,WR,28,11,7,0,1,0,0,1,1,1,1.0,0,47,27,426,15.78,1,0,0,1,,,47.0,73.7,77.7,61.2,,88,,GordJo02,4.2727272727272725,6.7
Kendrick Bourne,175,SFO,WR,24,16,0,0,0,0,0,0,0,0,,0,44,30,358,11.93,5,0,0,5,1.0,,68.0,97.8,100.8,82.8,,69,,BourKe00,4.25,6.1125
Allen Lazard,176,GNB,WR,24,16,3,0,0,0,0,0,1,21,21.0,0,52,35,477,13.63,3,0,0,3,,,68.0,102.8,105.8,85.3,,68,,LazaAl00,4.25,6.425
