Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
117,Dion Lewis\LewiDi00,NWE,25,rb,7,6,50,36,72.0%,388,10.8,2,40,7.8,5.1,55.4,2
118,Kendall Wright\WrigKe01,TEN,26,WR,10,9,60,36,60.0%,408,11.3,3,52,6.8,3.6,40.8,0
119,T.J. Yeldon\YeldT.00,JAX,22,RB,12,12,46,36,78.3%,279,7.8,1,67,6.1,3.0,23.3,0
120,Jordan Cameron\CameJo00,MIA,27,TE,16,16,70,35,50.0%,386,11.0,3,29,5.5,2.2,24.1,1
121,Dontrelle Inman\InmaDo00,SDG,26,wr,14,7,63,35,55.6%,486,13.9,3,68,7.7,2.5,34.7,2
122,Chris Thompson\ThomCh03,WAS,25,,13,0,48,35,72.9%,240,6.9,2,23,5.0,2.7,18.5,2
123,Albert Wilson\WilsAl02,KAN,23,WR,14,12,57,35,61.4%,451,12.9,2,44,7.9,2.5,32.2,0
124,Frank Gore\GoreFr00,IND,32,RB,16,16,58,34,58.6%,267,7.9,1,34,4.6,2.1,16.7,4
125,Zach Miller\MillZa02,CHI,31,fb/TE,15,14,46,34,73.9%,439,12.9,5,87,9.5,2.3,29.3,0
126,C.J. Spiller\SpilC.00,NOR,28,rb,13,2,44,34,77.3%,239,7.0,2,80,5.4,2.6,18.4,1
127,Jarius Wright\WrigJa02,MIN,26,wr,16,3,50,34,68.0%,442,13.0,0,52,8.8,2.1,27.6,1
128,Crockett Gillmore\GillCr00,BAL,24,TE,10,10,47,33,70.2%,412,12.5,4,46,8.8,3.3,41.2,0
129,Melvin Gordon\GordMe00,SDG,22,RB,14,13,37,33,89.2%,192,5.8,0,18,5.2,2.4,13.7,6
130,Vincent Jackson\JackVi00,TAM,32,WR,10,9,62,33,53.2%,543,16.5,3,36,8.8,3.3,54.3,0
131,Doug Martin*+\MartDo00,TAM,26,RB,16,16,44,33,75.0%,271,8.2,1,25,6.2,2.1,16.9,5
132,Mohamed Sanu\SanuMo00,CIN,26,wr,16,4,49,33,67.3%,394,11.9,0,52,8.0,2.1,24.6,2
133,Torrey Smith\SmitTo02,SFO,26,WR,16,12,62,33,53.2%,663,20.1,4,76,10.7,2.1,41.4,0
134,Dorial Green-Beckham\GreeDo00,TEN,22,wr,16,5,67,32,47.8%,549,17.2,4,47,8.2,2.0,34.3,0
