"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Adam Hadwin",401056544,"A. Hadwin",5548,59.5,0,56.3,4.6,"The Northern Trust",2019,43,1,0,60.5,60.9,0,1,"Liberty National - Jersey City, NJ",67,3,0,70,2019-08-11,"T43","-4",0.47,-0.08,-0.14,0.1,-0.12,0.34,"43"
"Adam Hadwin",401056545,"A. Hadwin",5548,37,0,31.2,10,"Wyndham Championship",2019,NA,0,0,37,41.2,0,0,"Sedgefield - Greensboro, NC",34,0,0,34,2019-08-04,"CUT","-2",-0.96,-0.22,0.43,-0.04,0.18,-0.78,"-"
"Adam Hadwin",401056547,"A. Hadwin",5548,56,0,44.8,6.2,"The Open",2019,57,0,0,56,51,1,1,"Royal Portrush - Portrush, Northern Ireland",56,0,0,56,2019-07-21,NA,NA,NA,NA,NA,NA,NA,NA,"57"
"Adam Hadwin",401056549,"A. Hadwin",5548,32.5,0,26.9,10.2,"Travelers Championship",2019,NA,0,0,32.5,37.1,0,0,"TPC River Highlands - Cromwell, CT",29,3,0,32,2019-06-23,"CUT","E",-0.15,-0.46,0.76,-0.66,-0.37,-0.52,"-"
"Adam Hadwin",401056550,"A. Hadwin",5548,62.5,0,53.6,20.2,"Wells Fargo Championship",2019,38,2,1,64.5,74.8,0,1,"Quail Hollow - Charlotte, NC",61,3,0,64,2019-05-05,"T38","-1",0.31,0.58,0.64,-0.69,0.53,0.84,"38"
"Adam Hadwin",401056552,"A. Hadwin",5548,47.5,0,40.6,10,"PGA Championship",2019,29,3,2,50.5,52.6,1,1,"Bethpage - Farmingdale, NY",51,0,0,51,2019-05-19,"T29","5",-0.43,0.29,1.17,0.34,1.81,1.38,"29"
"Adam Hadwin",401056554,"A. Hadwin",5548,61.5,3,52.2,15.8,"The Memorial Tournament pres. by Nationwide",2019,52,0,0,64.5,68,0,1,"Muirfield Village - Dublin, OH",55,3,0,58,2019-06-02,"T52","1",0.95,-0.58,-1.04,0.49,-1.14,-0.19,"52"
"Adam Hadwin",401056555,"A. Hadwin",5548,62,6,58.5,11.7,"RBC Canadian Open",2019,6,12,12,80,82.2,0,1,"Hamilton - Hamilton, Ontario, Canada",60,7,8,75,2019-06-09,"6","-12",0.79,0.49,0.95,0.54,1.98,2.77,"6"
"Adam Hadwin",401056558,"A. Hadwin",5548,93,14,91.6,35.8,"3M Open",2019,4,16,16,123,143.4,0,1,"TPC Twin Cities - Blaine, MN",82,12,10,104,2019-07-07,"4","-18",1.59,-0.91,1.67,0.41,1.16,2.75,"4"
"Adam Hadwin",401148235,"A. Hadwin",5548,85,6,84.2,20.9,"Safeway Open",2020,2,20,20,111,125.1,0,1,"Silverado - Napa, CA",82,13,13,108,2019-09-29,"2","-16",1.11,0.43,1.71,-0.11,2.03,3.13,"2"
"Adam Hadwin",401148236,"A. Hadwin",5548,90.5,14,91.3,25.8,"Shriners Hospital for Children Open",2020,4,16,16,120.5,133.1,0,1,"TPC Summerlin - Las Vegas, NV",89,20,10,119,2019-10-06,"T4","-20",0.98,-0.12,1.34,0.57,1.79,2.77,"4"
"Adam Hadwin",401148239,"A. Hadwin",5548,57,0,49.9,5.6,"The ZOZO Championship",2020,41,1,0,58,55.5,0,1,"Accordia Golf Narashino CC - Chiba, Japan",66,0,0,66,2019-10-27,NA,NA,NA,NA,NA,NA,NA,NA,"41"
