,schedule_season,team_home,team_away,team_favorite_id,spread_favorite,score_home,score_away,Favourite_Win,Favourtie_Cover,H_or_W_Win
12280,2018,CIN,NO,NO,6.0,14.0,51.0,favew,covered,awayw
12281,2018,CLE,ATL,ATL,5.5,28.0,16.0,favel,not_covered,homew
12282,2018,GB,MIA,GB,11.0,31.0,12.0,favew,covered,homew
12283,2018,IND,JAX,IND,3.0,29.0,26.0,favew,PUSH,homew
12284,2018,KC,ARI,KC,16.5,26.0,14.0,favew,not_covered,homew
12285,2018,LAR,SEA,LAR,10.0,36.0,31.0,favew,not_covered,homew
12286,2018,NYJ,BUF,NYJ,7.0,10.0,41.0,favel,not_covered,awayw
12287,2018,OAK,LAC,LAC,10.5,6.0,20.0,favew,covered,awayw
12288,2018,PHI,DAL,PHI,7.5,20.0,27.0,favel,not_covered,awayw
12289,2018,TB,WAS,TB,3.5,3.0,16.0,favel,not_covered,awayw
12290,2018,TEN,NE,NE,6.5,34.0,10.0,favel,not_covered,homew
12291,2018,SF,NYG,SF,3.0,23.0,27.0,favel,not_covered,awayw
12292,2018,SEA,GB,SEA,3.0,27.0,24.0,favew,PUSH,homew
12293,2018,ARI,OAK,ARI,4.5,21.0,23.0,favel,not_covered,awayw
12294,2018,ATL,DAL,ATL,3.5,19.0,22.0,favel,not_covered,awayw
12295,2018,BAL,CIN,BAL,6.5,24.0,21.0,favew,not_covered,homew
12296,2018,CHI,MIN,CHI,2.5,25.0,20.0,favew,covered,homew
12297,2018,DET,CAR,CAR,4.0,20.0,19.0,favel,not_covered,homew
12298,2018,IND,TEN,IND,1.0,38.0,10.0,favew,covered,homew
12299,2018,JAX,PIT,PIT,4.0,16.0,20.0,favew,PUSH,awayw
12300,2018,LAC,DEN,LAC,7.5,22.0,23.0,favel,not_covered,awayw
12301,2018,NO,PHI,NO,7.0,48.0,7.0,favew,covered,homew
12302,2018,NYG,TB,NYG,3.0,38.0,35.0,favew,PUSH,homew
